DATE,Avg Hourly Wages
1/1/1964,2.50
2/1/1964,2.50
3/1/1964,2.51
4/1/1964,2.52
5/1/1964,2.52
6/1/1964,2.53
7/1/1964,2.54
8/1/1964,2.55
9/1/1964,2.56
10/1/1964,2.55
11/1/1964,2.56
12/1/1964,2.58
1/1/1965,2.58
2/1/1965,2.59
3/1/1965,2.61
4/1/1965,2.60
5/1/1965,2.62
6/1/1965,2.63
7/1/1965,2.63
8/1/1965,2.64
9/1/1965,2.65
10/1/1965,2.66
11/1/1965,2.67
12/1/1965,2.67
1/1/1966,2.68
2/1/1966,2.69
3/1/1966,2.70
4/1/1966,2.71
5/1/1966,2.72
6/1/1966,2.73
7/1/1966,2.74
8/1/1966,2.75
9/1/1966,2.76
10/1/1966,2.77
11/1/1966,2.78
12/1/1966,2.78
1/1/1967,2.80
2/1/1967,2.81
3/1/1967,2.81
4/1/1967,2.82
5/1/1967,2.83
6/1/1967,2.85
7/1/1967,2.86
8/1/1967,2.88
9/1/1967,2.88
10/1/1967,2.89
11/1/1967,2.91
12/1/1967,2.92
1/1/1968,2.94
2/1/1968,2.95
3/1/1968,2.97
4/1/1968,2.99
5/1/1968,3.00
6/1/1968,3.01
7/1/1968,3.03
8/1/1968,3.04
9/1/1968,3.07
10/1/1968,3.08
11/1/1968,3.10
12/1/1968,3.11
1/1/1969,3.12
2/1/1969,3.14
3/1/1969,3.16
4/1/1969,3.18
5/1/1969,3.19
6/1/1969,3.21
7/1/1969,3.22
8/1/1969,3.24
9/1/1969,3.26
10/1/1969,3.28
11/1/1969,3.30
12/1/1969,3.31
1/1/1970,3.31
2/1/1970,3.33
3/1/1970,3.36
4/1/1970,3.36
5/1/1970,3.37
6/1/1970,3.40
7/1/1970,3.41
8/1/1970,3.44
9/1/1970,3.45
10/1/1970,3.45
11/1/1970,3.47
12/1/1970,3.50
1/1/1971,3.53
2/1/1971,3.55
3/1/1971,3.56
4/1/1971,3.58
5/1/1971,3.61
6/1/1971,3.62
7/1/1971,3.63
8/1/1971,3.66
9/1/1971,3.67
10/1/1971,3.68
11/1/1971,3.70
12/1/1971,3.73
1/1/1972,3.80
2/1/1972,3.82
3/1/1972,3.84
4/1/1972,3.86
5/1/1972,3.88
6/1/1972,3.88
7/1/1972,3.90
8/1/1972,3.92
9/1/1972,3.94
10/1/1972,3.97
11/1/1972,3.99
12/1/1972,4.00
1/1/1973,4.03
2/1/1973,4.05
3/1/1973,4.06
4/1/1973,4.09
5/1/1973,4.10
6/1/1973,4.12
7/1/1973,4.15
8/1/1973,4.16
9/1/1973,4.20
10/1/1973,4.21
11/1/1973,4.24
12/1/1973,4.25
1/1/1974,4.27
2/1/1974,4.29
3/1/1974,4.32
4/1/1974,4.33
5/1/1974,4.40
6/1/1974,4.44
7/1/1974,4.45
8/1/1974,4.49
9/1/1974,4.53
10/1/1974,4.56
11/1/1974,4.57
12/1/1974,4.60
1/1/1975,4.61
2/1/1975,4.64
3/1/1975,4.67
4/1/1975,4.67
5/1/1975,4.69
6/1/1975,4.72
7/1/1975,4.74
8/1/1975,4.78
9/1/1975,4.79
10/1/1975,4.82
11/1/1975,4.86
12/1/1975,4.87
1/1/1976,4.90
2/1/1976,4.93
3/1/1976,4.95
4/1/1976,4.98
5/1/1976,5.01
6/1/1976,5.03
7/1/1976,5.06
8/1/1976,5.11
9/1/1976,5.14
10/1/1976,5.16
11/1/1976,5.21
12/1/1976,5.23
1/1/1977,5.26
2/1/1977,5.30
3/1/1977,5.32
4/1/1977,5.36
5/1/1977,5.40
6/1/1977,5.42
7/1/1977,5.46
8/1/1977,5.48
9/1/1977,5.51
10/1/1977,5.55
11/1/1977,5.58
12/1/1977,5.61
1/1/1978,5.66
2/1/1978,5.69
3/1/1978,5.73
4/1/1978,5.79
5/1/1978,5.82
6/1/1978,5.86
7/1/1978,5.90
8/1/1978,5.92
9/1/1978,5.97
10/1/1978,6.02
11/1/1978,6.05
12/1/1978,6.10
1/1/1979,6.13
2/1/1979,6.18
3/1/1979,6.22
4/1/1979,6.21
5/1/1979,6.27
6/1/1979,6.32
7/1/1979,6.36
8/1/1979,6.40
9/1/1979,6.45
10/1/1979,6.46
11/1/1979,6.51
12/1/1979,6.56
1/1/1980,6.57
2/1/1980,6.63
3/1/1980,6.69
4/1/1980,6.72
5/1/1980,6.76
6/1/1980,6.82
7/1/1980,6.86
8/1/1980,6.91
9/1/1980,6.95
10/1/1980,7.02
11/1/1980,7.09
12/1/1980,7.13
1/1/1981,7.18
2/1/1981,7.23
3/1/1981,7.29
4/1/1981,7.33
5/1/1981,7.37
6/1/1981,7.41
7/1/1981,7.45
8/1/1981,7.52
9/1/1981,7.56
10/1/1981,7.59
11/1/1981,7.63
12/1/1981,7.64
1/1/1982,7.72
2/1/1982,7.72
3/1/1982,7.75
4/1/1982,7.77
5/1/1982,7.84
6/1/1982,7.85
7/1/1982,7.90
8/1/1982,7.94
9/1/1982,7.94
10/1/1982,7.96
11/1/1982,7.98
12/1/1982,8.01
1/1/1983,8.06
2/1/1983,8.09
3/1/1983,8.10
4/1/1983,8.13
5/1/1983,8.17
6/1/1983,8.19
7/1/1983,8.22
8/1/1983,8.20
9/1/1983,8.27
10/1/1983,8.31
11/1/1983,8.31
12/1/1983,8.33
1/1/1984,8.38
2/1/1984,8.38
3/1/1984,8.41
4/1/1984,8.45
5/1/1984,8.45
6/1/1984,8.48
7/1/1984,8.51
8/1/1984,8.51
9/1/1984,8.55
10/1/1984,8.55
11/1/1984,8.57
12/1/1984,8.61
1/1/1985,8.61
2/1/1985,8.64
3/1/1985,8.66
4/1/1985,8.69
5/1/1985,8.70
6/1/1985,8.74
7/1/1985,8.74
8/1/1985,8.76
9/1/1985,8.80
10/1/1985,8.79
11/1/1985,8.81
12/1/1985,8.87
1/1/1986,8.85
2/1/1986,8.88
3/1/1986,8.89
4/1/1986,8.88
5/1/1986,8.90
6/1/1986,8.92
7/1/1986,8.91
8/1/1986,8.94
9/1/1986,8.94
10/1/1986,8.96
11/1/1986,9.01
12/1/1986,9.01
1/1/1987,9.02
2/1/1987,9.05
3/1/1987,9.07
4/1/1987,9.08
5/1/1987,9.11
6/1/1987,9.11
7/1/1987,9.12
8/1/1987,9.18
9/1/1987,9.19
10/1/1987,9.22
11/1/1987,9.27
12/1/1987,9.28
1/1/1988,9.29
2/1/1988,9.29
3/1/1988,9.31
4/1/1988,9.36
5/1/1988,9.41
6/1/1988,9.41
7/1/1988,9.45
8/1/1988,9.46
9/1/1988,9.51
10/1/1988,9.56
11/1/1988,9.58
12/1/1988,9.60
1/1/1989,9.65
2/1/1989,9.68
3/1/1989,9.70
4/1/1989,9.75
5/1/1989,9.74
6/1/1989,9.77
7/1/1989,9.83
8/1/1989,9.83
9/1/1989,9.87
