Period,US Median,NE Median,MW Median,South Median,West Median,US Avg,NE Avg,MW Avg,South Avg,West Avg
1963Q1,17800,20800,17500,16800,18000,19300,0,0,0,0
1963Q2,18000,20600,17700,15800,18900,19400,0,0,0,0
1963Q3,17900,19600,17800,15900,19000,19200,0,0,0,0
1963Q4,18500,20600,19100,15800,19500,19600,0,0,0,0
1964Q1,18500,20300,18700,16500,19600,19600,0,0,0,0
1964Q2,18900,19800,19800,16800,20100,20200,0,0,0,0
1964Q3,18900,20200,18900,16800,20600,20500,0,0,0,0
1964Q4,19400,21400,20800,16700,21500,20900,0,0,0,0
1965Q1,20200,21000,21900,17400,21600,21500,0,0,0,0
1965Q2,19800,21900,20800,16400,22100,21000,0,0,0,0
1965Q3,20200,21200,22100,17700,21500,21600,0,0,0,0
1965Q4,20300,23100,21100,18100,22400,21700,0,0,0,0
1966Q1,21000,23700,22500,17800,23300,22700,0,0,0,0
1966Q2,22100,23700,23300,18800,23800,23200,0,0,0,0
1966Q3,21500,23700,24100,18200,22500,23000,0,0,0,0
1966Q4,21400,23400,23700,18900,22800,22800,0,0,0,0
1967Q1,22300,23800,23000,18900,24700,24000,0,0,0,0
1967Q2,23300,25400,25900,19400,24700,24200,0,0,0,0
1967Q3,22500,25600,24100,19400,23600,23900,0,0,0,0
1967Q4,22900,27500,26900,19600,23300,24400,0,0,0,0
1968Q1,23900,26600,26900,19800,24700,25400,0,0,0,0
1968Q2,24900,26900,28200,22000,25500,26700,0,0,0,0
1968Q3,24800,27800,26800,21700,25500,26600,0,0,0,0
1968Q4,25600,29900,27700,22400,24800,27000,0,0,0,0
1969Q1,25700,31500,27300,23100,24800,27600,0,0,0,0
1969Q2,25900,32100,28700,23300,25600,28100,0,0,0,0
1969Q3,25900,31300,28700,23000,25400,28100,0,0,0,0
1969Q4,24900,30500,26400,21100,25500,27100,0,0,0,0
1970Q1,23900,32000,28500,20000,23800,27000,0,0,0,0
1970Q2,24400,33100,25000,21100,24700,27300,0,0,0,0
1970Q3,23000,26800,23800,20400,24200,26000,0,0,0,0
1970Q4,22600,29200,22700,20000,23600,26300,0,0,0,0
1971Q1,24300,31000,27100,21300,24700,27300,0,0,0,0
1971Q2,25800,30500,27800,22700,26200,28600,0,0,0,0
1971Q3,25300,30900,27600,22900,25300,28300,0,0,0,0
1971Q4,25500,31300,26200,23200,25600,28200,0,0,0,0
1972Q1,26200,31900,28300,23900,26200,29000,0,0,0,0
1972Q2,26800,31100,28400,25200,26300,29400,0,0,0,0
1972Q3,27900,29400,30200,26600,28300,30300,0,0,0,0
1972Q4,29200,33800,30800,27500,28800,31600,0,0,0,0
